Customer ID,Gender,Affinity,Annual Spend,Loyalty Program Member,Response Channel,CLV,Offer1,Offer2,Offer3,Offer4,Offer5,Offer6,Offer7,Offer8,Offer9,Offer10,Offer11
10150,F,Womens Sportwear,411.354,NO,Mobile,41135.4,F,F,F,F,F,F,F,F,T,F,F
10236,F,Mens Career,420.572,YES,Email,42057.2,F,F,F,F,F,T,T,F,F,F,F
10360,M,Mens Sportswear,274.012,NO,Direct Mail,27401.2,F,F,F,T,F,T,T,F,F,T,F
10451,M,Mens Sportswear,150.174,NO,Direct Mail,15017.4,F,F,F,T,F,T,T,F,F,F,T
10609,F,Mens Casual,142.389,NO,Direct Mail,14238.9,T,F,F,F,F,F,F,F,F,T,F
10614,M,Womens Shoes,190.425,NO,Email,19042.5,F,F,F,F,F,F,F,F,T,F,F
10645,M,Mens Casual,184.803,YES,Mobile,18480.3,T,T,F,T,F,T,T,F,F,F,F
10717,M,Mens Casual,472.705,NO,Mobile,47270.5,T,T,F,F,F,F,F,F,F,T,F
10872,M,Womens Shoes,206.176,NO,Email,20617.6,F,T,T,T,F,T,T,F,F,T,F
10902,M,Womens Career,267.182,NO,Mobile,26718.2,T,F,F,F,F,F,F,T,F,F,F
10915,F,Womens Career,124.624,NO,Mobile,12462.4,T,F,T,F,T,T,F,F,F,T,F
10944,M,Mens Sportswear,453.278,NO,Mobile,45327.8,F,T,T,T,F,T,T,F,F,F,F
10987,F,Womens Career,377.075,YES,Email,37707.5,T,F,T,F,F,F,F,T,F,F,T
11119,F,Home goods,294.205,YES,Direct Mail,29420.5,F,F,F,F,F,F,F,F,T,T,T
11220,M,Womens Shoes,236.325,YES,Mobile,23632.5,F,F,F,T,F,T,T,F,F,F,T
11230,M,Womens Sportwear,462.79,NO,Email,46279,F,F,T,F,F,F,F,F,F,T,T
11236,M,Mens Casual,425.669,YES,Mobile,42566.9,F,F,F,F,F,F,F,F,F,F,F
11241,M,Mens Sportswear,338.901,NO,Direct Mail,33890.1,T,T,F,T,F,T,T,F,F,T,F
11357,F,Womens Shoes,107.53,YES,Email,10753,F,T,T,F,F,F,T,F,F,T,F
11553,M,Womens Career,151.133,NO,Email,15113.3,F,F,F,F,F,F,F,F,F,F,T
11565,F,Womens Shoes,449.745,NO,Email,44974.5,F,T,T,T,F,F,F,T,F,T,F
11818,F,Womens Career,319.051,YES,Mobile,31905.1,F,T,F,F,F,F,F,F,F,F,F
11966,M,Mens Career,221.877,NO,Mobile,22187.7,T,F,T,F,F,F,F,F,F,T,T
12291,M,Womens Shoes,419.518,NO,Email,41951.8,F,F,F,F,F,F,F,T,F,F,T
12312,F,Mens Casual,192.175,YES,Mobile,19217.5,F,T,F,F,F,T,F,F,T,F,F
12547,M,Mens Career,323.073,YES,Mobile,32307.3,F,F,F,T,T,T,T,F,F,F,F
12582,M,Mens Sportswear,256.014,NO,Email,25601.4,T,T,F,F,F,F,T,T,F,T,F
12584,F,Womens Shoes,466.323,YES,Mobile,46632.3,T,F,F,F,F,F,T,T,F,F,T
12694,F,Mens Casual,158.634,NO,Email,15863.4,T,F,F,F,F,F,F,F,F,F,T
12782,F,Mens Sportswear,313.296,NO,Direct Mail,31329.6,F,F,F,T,F,F,T,F,F,F,F
12800,F,Mens Casual,257.388,YES,Mobile,25738.8,T,F,F,F,F,F,F,F,F,F,F
12938,F,Mens Sportswear,494.836,NO,Direct Mail,49483.6,F,F,F,T,F,T,F,F,T,F,F
13325,F,Womens Shoes,412.805,NO,Mobile,41280.5,F,F,F,F,F,F,F,T,F,T,T
13518,F,Mens Casual,163.794,YES,Mobile,16379.4,F,F,F,F,F,F,F,F,F,F,F
13564,F,Home goods,315.83,YES,Direct Mail,31583,F,F,T,F,F,F,F,F,F,F,F
13722,M,Womens Sportwear,362.168,NO,Mobile,36216.8,T,T,T,F,F,F,T,F,F,T,F
13747,F,Mens Casual,123.374,NO,Mobile,12337.4,F,F,F,F,F,F,T,F,F,F,F
13893,F,Womens Shoes,248.043,YES,Mobile,24804.3,F,T,F,T,T,T,F,F,F,T,F
13903,F,Home goods,291.647,NO,Email,29164.7,T,T,T,T,T,F,F,F,T,F,F
14015,M,Womens Shoes,318.657,NO,Email,31865.7,F,F,F,T,F,F,F,F,F,F,T
14107,F,Womens Shoes,129.508,NO,Mobile,12950.8,F,T,F,F,F,F,F,F,F,T,F
14301,M,Womens Sportwear,399.171,NO,Email,39917.1,F,T,T,T,F,T,T,F,F,T,T
14368,F,Mens Career,349.178,NO,Direct Mail,34917.8,F,F,F,F,T,F,F,T,F,F,T
14514,F,Womens Sportwear,316.016,YES,Mobile,31601.6,F,F,F,F,T,F,F,F,T,F,F
14630,M,Womens Shoes,195.788,NO,Email,19578.8,F,F,F,T,F,T,T,F,F,F,F
14658,F,Mens Career,468.048,YES,Mobile,46804.8,F,F,F,F,T,F,F,T,F,T,T
14692,F,Mens Sportswear,408.875,YES,Mobile,40887.5,F,F,F,T,F,F,F,T,F,F,F
14743,M,Home goods,216.813,YES,Email,21681.3,T,T,T,T,T,T,T,T,F,F,F
14759,M,Home goods,148.671,YES,Mobile,14867.1,F,F,T,T,F,F,F,F,T,F,F
14875,M,Mens Casual,185.153,YES,Direct Mail,18515.3,F,T,F,F,F,F,T,T,F,F,F
14890,M,Mens Sportswear,318.997,YES,Direct Mail,31899.7,F,T,F,F,F,F,F,F,F,F,F
14891,F,Home goods,183.91,NO,Email,18391,F,F,F,T,F,F,F,F,F,F,F
14912,M,Home goods,391.559,YES,Direct Mail,39155.9,F,F,F,T,F,T,T,T,F,F,F
14996,M,Womens Sportwear,222.591,YES,Email,22259.1,F,T,T,T,F,T,F,F,F,T,T
15068,M,Mens Casual,178.948,YES,Direct Mail,17894.8,F,F,F,F,F,F,T,F,F,F,F
15072,M,Womens Shoes,416.457,NO,Mobile,41645.7,F,F,F,T,F,F,F,F,F,T,F
15099,M,Womens Career,112.731,NO,Mobile,11273.1,T,F,F,T,F,T,T,F,F,T,F
15109,M,Mens Casual,135.356,YES,Mobile,13535.6,F,F,F,F,F,T,F,F,F,F,F
15177,F,Mens Casual,247.919,NO,Mobile,24791.9,F,F,F,F,F,F,F,F,F,F,T
15306,M,Womens Shoes,223.248,NO,Email,22324.8,F,F,F,T,T,T,T,F,F,F,F
15317,M,Mens Career,438.941,YES,Mobile,43894.1,F,F,T,F,F,F,F,F,F,F,F
15590,M,Mens Casual,440.704,NO,Email,44070.4,T,F,F,T,F,F,F,F,F,T,F
15629,F,Mens Career,170.04,YES,Email,17004,F,F,F,F,F,T,F,F,F,T,F
15650,M,Home goods,487.559,YES,Mobile,48755.9,F,F,F,F,F,F,F,F,F,T,F
15663,F,Womens Shoes,451.901,YES,Mobile,45190.1,F,F,F,F,F,F,T,F,F,F,F
15835,F,Home goods,243.642,YES,Email,24364.2,F,F,F,F,F,F,F,F,F,T,F
15882,M,Home goods,207.035,YES,Email,20703.5,F,F,F,T,F,T,T,F,F,F,F
16055,M,Womens Shoes,405.415,YES,Email,40541.5,F,F,F,F,F,F,F,F,F,T,F
16220,M,Mens Career,347.872,NO,Direct Mail,34787.2,F,F,F,T,F,T,T,F,T,F,T
16287,F,Mens Sportswear,425.534,NO,Email,42553.4,T,F,F,F,F,F,F,T,T,F,T
16316,M,Womens Sportwear,391.701,NO,Direct Mail,39170.1,T,F,T,F,F,T,F,F,F,T,F
16342,M,Mens Sportswear,463.814,NO,Mobile,46381.4,F,F,F,F,F,F,F,F,F,F,F
16350,F,Mens Career,318.923,YES,Mobile,31892.3,T,T,F,F,F,F,F,F,F,F,F
17064,F,Womens Shoes,153.259,YES,Direct Mail,15325.9,F,F,F,F,F,F,T,F,F,F,F
17110,M,Mens Sportswear,127.214,YES,Email,12721.4,F,F,F,T,T,T,T,F,F,F,F
17133,M,Mens Career,213.284,YES,Mobile,21328.4,T,F,F,F,F,T,F,T,T,F,F
17201,M,Womens Career,377.746,NO,Mobile,37774.6,T,F,F,T,F,F,F,T,F,T,F
17375,M,Womens Shoes,127.641,YES,Direct Mail,12764.1,F,F,F,F,T,F,F,F,F,F,F
17470,F,Womens Career,190.756,NO,Email,19075.6,F,F,F,F,F,T,T,F,F,T,T
17571,F,Womens Career,152.7,YES,Mobile,15270,T,F,T,F,F,T,T,F,F,F,F
17590,M,Womens Shoes,301.201,YES,Mobile,30120.1,F,F,F,F,F,F,F,F,F,F,F
17747,M,Mens Casual,338.601,YES,Mobile,33860.1,F,F,F,F,F,F,F,F,F,T,F
17809,M,Womens Shoes,396.015,YES,Mobile,39601.5,F,F,F,F,F,F,F,F,F,F,T
17830,F,Womens Shoes,280.198,NO,Mobile,28019.8,T,F,F,F,T,F,T,F,F,T,F
17864,F,Home goods,356.562,NO,Direct Mail,35656.2,T,F,T,F,F,F,F,T,F,T,T
17939,F,Womens Sportwear,158.755,NO,Email,15875.5,F,F,F,F,F,T,F,F,F,F,F
18030,F,Mens Casual,129.942,YES,Mobile,12994.2,T,F,F,F,T,F,F,F,F,F,F
18079,M,Home goods,248.16,YES,Mobile,24816,F,F,T,F,F,F,F,T,F,F,F
18126,F,Womens Shoes,347.134,NO,Mobile,34713.4,T,F,F,T,F,F,F,T,T,T,F
18143,F,Womens Sportwear,435.884,YES,Email,43588.4,T,F,F,F,T,T,F,F,F,F,F
18228,M,Womens Sportwear,317.275,NO,Email,31727.5,F,F,F,T,F,F,F,F,F,F,F
18331,F,Mens Sportswear,478.98,YES,Mobile,47898,T,F,F,F,F,T,F,T,F,F,T
18334,F,Womens Shoes,424.343,NO,Email,42434.3,F,F,F,F,F,T,F,T,F,F,T
18464,M,Home goods,209.389,YES,Mobile,20938.9,F,F,F,T,F,F,F,F,F,F,F
18517,M,Womens Career,425.094,YES,Mobile,42509.4,T,T,F,T,F,T,T,F,F,F,F
18708,F,Mens Sportswear,307.868,YES,Email,30786.8,F,F,F,T,T,T,T,F,F,T,F
18724,F,Mens Career,491.775,NO,Email,49177.5,F,F,T,T,F,F,F,F,F,T,F
18917,M,Womens Shoes,479.346,NO,Mobile,47934.6,F,T,T,T,F,T,T,F,F,F,T
18920,M,Mens Sportswear,453.683,NO,Email,45368.3,F,F,F,T,F,F,F,T,T,F,F
18953,F,Mens Career,242.569,NO,Mobile,24256.9,T,F,F,F,T,F,F,F,F,T,T
19041,F,Mens Career,146.823,NO,Mobile,14682.3,T,T,F,T,F,F,F,F,F,T,F
19078,M,Mens Career,388.52,YES,Email,38852,T,F,F,F,F,F,F,F,F,F,T
19193,M,Womens Sportwear,223.496,NO,Mobile,22349.6,F,F,F,F,F,F,F,T,T,F,T
19209,M,Womens Shoes,463.67,YES,Mobile,46367,T,T,F,T,F,T,T,F,F,F,F
19211,M,Mens Casual,359.545,NO,Mobile,35954.5,F,F,F,T,F,T,T,F,F,F,T
19268,F,Mens Casual,250.55,YES,Email,25055,F,F,F,F,F,F,F,F,F,F,F
19519,M,Mens Sportswear,124.083,YES,Mobile,12408.3,F,F,T,F,F,T,T,F,F,F,T
19613,F,Womens Sportwear,461.507,YES,Mobile,46150.7,F,F,F,F,T,F,F,F,F,F,F
19915,F,Mens Sportswear,400.868,NO,Email,40086.8,T,F,F,F,T,F,F,F,F,T,F
